iter	Passed	Remaining
0	143	143224
1	144	72024
2	145	48310
3	146	36408
4	147	29279
5	148	24538
6	149	21149
7	150	18604
8	150	16624
9	151	15041
10	152	13747
11	153	12665
12	154	11756
13	155	10968
14	156	10296
15	157	9705
16	158	9187
17	159	8723
18	160	8306
19	161	7933
20	162	7596
21	164	7292
22	165	7010
23	166	6753
24	167	6520
25	168	6308
26	169	6107
27	170	5921
28	172	5764
29	173	5603
30	174	5450
31	175	5317
32	177	5202
33	178	5084
34	180	4973
35	181	4863
36	183	4765
37	184	4662
38	185	4564
39	186	4479
40	187	4395
41	189	4315
42	190	4236
43	191	4168
44	192	4095
45	194	4026
46	195	3958
47	196	3893
48	197	3832
49	198	3773
50	199	3717
51	201	3664
52	202	3614
53	203	3565
54	205	3537
55	207	3491
56	208	3448
57	209	3406
58	210	3364
59	212	3323
60	213	3293
61	215	3256
62	216	3225
63	218	3193
64	219	3158
65	220	3127
66	222	3097
67	223	3058
68	224	3030
69	226	3008
70	228	2986
71	229	2961
72	230	2931
73	232	2903
74	233	2876
75	234	2850
76	235	2828
77	237	2805
78	238	2781
79	239	2758
80	241	2740
81	243	2729
82	245	2713
83	247	2696
84	249	2688
85	251	2677
86	253	2659
87	254	2638
88	255	2619
89	257	2604
90	258	2586
91	260	2567
92	261	2548
93	262	2531
94	263	2512
95	265	2497
96	267	2487
97	268	2473
98	269	2457
99	271	2440
100	272	2423
101	273	2403
102	274	2388
103	275	2372
104	276	2356
105	277	2341
106	279	2329
107	280	2314
108	281	2301
109	282	2287
110	283	2274
111	285	2261
112	287	2252
113	288	2242
114	289	2231
115	290	2215
116	291	2203
117	293	2193
118	294	2180
119	295	2169
120	297	2158
121	298	2146
122	299	2131
123	300	2121
124	301	2111
125	302	2101
126	304	2091
127	305	2080
128	306	2072
129	308	2064
130	310	2058
131	312	2057
132	314	2051
133	316	2043
134	317	2033
135	318	2025
136	321	2024
137	322	2013
138	323	2004
139	325	1996
140	326	1988
141	327	1980
142	328	1971
143	330	1962
144	331	1953
145	332	1944
146	333	1935
147	334	1927
148	335	1918
149	337	1910
150	338	1902
151	339	1894
152	340	1886
153	342	1879
154	343	1870
155	344	1862
156	345	1855
157	346	1847
158	348	1840
159	349	1832
160	350	1827
161	351	1820
162	352	1812
163	354	1807
164	355	1800
165	357	1796
166	358	1789
167	359	1781
168	360	1774
169	362	1767
170	363	1760
171	364	1753
172	365	1747
173	366	1739
174	367	1732
175	369	1727
176	370	1723
177	372	1718
178	373	1712
179	374	1705
180	374	1696
181	375	1689
182	377	1683
183	378	1678
184	380	1675
185	381	1668
186	382	1663
187	385	1665
188	387	1664
189	389	1658
190	390	1653
191	391	1647
192	392	1641
193	394	1638
194	395	1633
195	396	1627
196	398	1623
197	399	1618
198	401	1614
199	402	1608
200	403	1603
201	404	1597
202	405	1592
203	406	1586
204	407	1581
205	408	1575
206	410	1570
207	411	1565
208	412	1560
209	413	1556
210	415	1553
211	416	1548
212	417	1543
213	418	1538
214	419	1532
215	420	1527
216	421	1522
217	423	1519
218	424	1513
219	425	1508
220	426	1503
221	427	1499
222	429	1497
223	431	1493
224	432	1488
225	433	1483
226	434	1479
227	435	1474
228	436	1469
229	437	1465
230	438	1460
231	440	1456
232	441	1451
233	442	1447
234	444	1448
235	446	1445
236	448	1442
237	449	1439
238	451	1436
239	452	1432
240	453	1428
241	454	1423
242	455	1418
243	456	1414
244	457	1410
245	458	1406
246	459	1401
247	460	1397
248	461	1392
249	462	1388
250	463	1383
251	464	1379
252	465	1374
253	466	1370
254	467	1366
255	468	1361
256	469	1357
257	470	1353
258	471	1349
259	472	1345
260	474	1342
261	475	1338
262	476	1334
263	477	1331
264	478	1327
265	479	1323
266	480	1319
267	481	1315
268	482	1311
269	483	1306
270	484	1302
271	485	1298
272	485	1294
273	486	1290
274	488	1287
275	489	1283
276	490	1279
277	491	1275
278	492	1271
279	493	1268
280	494	1264
281	495	1261
282	496	1257
283	497	1254
284	498	1250
285	499	1246
286	500	1242
287	501	1238
288	502	1235
289	503	1232
290	504	1229
291	505	1225
292	506	1222
293	507	1218
294	508	1214
295	509	1210
296	509	1207
297	510	1203
298	511	1199
299	512	1196
300	513	1192
301	514	1189
302	515	1185
303	516	1182
304	517	1179
305	518	1176
306	519	1173
307	520	1170
308	521	1166
309	522	1163
310	523	1160
311	524	1156
312	525	1153
313	526	1150
314	527	1146
315	528	1143
316	529	1140
317	529	1136
318	530	1133
319	532	1131
320	533	1128
321	534	1125
322	535	1122
323	536	1119
324	537	1116
325	538	1112
326	539	1109
327	540	1106
328	541	1103
329	541	1100
330	542	1097
331	543	1093
332	544	1090
333	545	1087
334	546	1084
335	547	1081
336	548	1079
337	549	1076
338	550	1073
339	551	1070
340	552	1067
341	553	1064
342	554	1061
343	554	1058
344	555	1055
345	556	1052
346	557	1049
347	558	1046
348	559	1043
349	560	1040
350	561	1038
351	562	1035
352	563	1032
353	564	1030
354	565	1027
355	566	1024
356	567	1021
357	568	1019
358	569	1016
359	570	1013
360	571	1010
361	571	1007
362	572	1005
363	573	1002
364	574	999
365	575	996
366	576	994
367	577	992
368	578	989
369	579	987
370	581	985
371	581	982
372	582	979
373	583	977
374	584	974
375	585	971
376	586	969
377	587	966
378	588	963
379	588	960
380	589	958
381	591	956
382	592	953
383	592	951
384	593	948
385	594	946
386	595	943
387	596	941
388	597	938
389	598	936
390	599	933
391	600	931
392	601	928
393	602	926
394	602	923
395	603	921
396	604	918
397	605	916
398	606	913
399	607	911
400	608	909
401	609	906
402	610	904
403	611	902
404	612	900
405	613	897
406	614	895
407	615	893
408	616	890
409	617	888
410	618	885
411	619	883
412	620	881
413	621	879
414	622	876
415	622	874
416	623	872
417	624	869
418	625	867
419	626	865
420	627	862
421	628	860
422	629	858
423	629	855
424	630	853
425	631	851
426	632	848
427	633	846
428	634	844
429	635	842
430	636	840
431	637	837
432	638	835
433	639	833
434	639	831
435	640	828
436	641	826
437	642	824
438	643	822
439	644	820
440	645	817
441	646	815
442	647	813
443	647	811
444	648	809
445	649	807
446	650	804
447	651	802
448	652	800
449	653	798
450	654	796
451	655	794
452	656	792
453	656	790
454	657	787
455	658	785
456	659	783
457	660	781
458	661	779
459	662	777
460	662	775
461	663	772
462	664	771
463	665	768
464	666	766
465	667	764
466	668	762
467	669	760
468	670	758
469	671	756
470	672	754
471	672	752
472	673	750
473	674	748
474	675	746
475	676	744
476	677	742
477	678	740
478	679	738
479	680	736
480	681	734
481	682	732
482	682	731
483	683	729
484	684	727
485	685	725
486	686	723
487	687	721
488	688	719
489	689	717
490	689	715
491	690	713
492	691	711
493	692	709
494	693	707
495	694	705
496	695	703
497	696	702
498	697	700
499	698	698
500	699	696
501	700	694
502	700	692
503	701	690
504	702	688
505	703	686
506	704	685
507	705	683
508	706	681
509	707	679
510	708	677
511	709	676
512	710	674
513	711	672
514	712	671
515	713	669
516	714	667
517	715	665
518	716	664
519	717	662
520	718	660
521	720	659
522	721	657
523	722	656
524	723	654
525	724	652
526	725	651
527	726	649
528	727	647
529	728	646
530	729	644
531	730	642
532	731	641
533	732	639
534	733	637
535	734	636
536	736	634
537	737	633
538	738	631
539	739	630
540	741	628
541	742	627
542	743	625
543	744	624
544	745	622
545	746	620
546	747	619
547	748	617
548	750	616
549	751	614
550	752	612
551	753	611
552	754	609
553	755	608
554	756	606
555	757	604
556	758	603
557	759	601
558	760	600
559	761	598
560	762	597
561	764	595
562	765	593
563	766	592
564	767	590
565	768	589
566	769	587
567	770	585
568	771	584
569	772	582
570	773	581
571	774	579
572	775	577
573	776	576
574	777	574
575	778	573
576	780	571
577	781	570
578	782	568
579	783	567
580	784	565
581	785	563
582	786	562
583	787	560
584	788	559
585	789	557
586	790	556
587	791	554
588	793	553
589	794	551
590	795	550
591	796	548
592	797	547
593	798	545
594	799	544
595	800	542
596	801	541
597	803	539
598	804	538
599	805	537
600	806	535
601	807	534
602	808	532
603	810	531
604	811	529
605	812	528
606	813	526
607	814	525
608	815	523
609	816	522
610	817	520
611	818	519
612	819	517
613	820	516
614	821	514
615	822	512
616	823	511
617	825	509
618	826	508
619	827	507
620	828	505
621	829	504
622	830	502
623	831	501
624	832	499
625	833	498
626	834	496
627	835	495
628	836	493
629	837	492
630	839	490
631	840	489
632	841	487
633	842	486
634	843	484
635	844	483
636	846	482
637	847	480
638	848	479
639	849	477
640	850	476
641	851	474
642	852	473
643	853	472
644	854	470
645	856	469
646	857	467
647	858	466
648	859	464
649	860	463
650	861	461
651	862	460
652	863	458
653	864	457
654	865	455
655	866	454
656	867	452
657	867	451
658	868	449
659	869	448
660	870	446
661	871	445
662	872	443
663	873	442
664	874	440
665	875	439
666	876	437
667	877	436
668	878	434
669	879	433
670	880	431
671	881	430
672	882	428
673	883	427
674	883	425
675	884	424
676	885	422
677	886	420
678	887	419
679	888	418
680	889	416
681	890	415
682	891	413
683	892	412
684	892	410
685	893	409
686	894	407
687	895	406
688	896	404
689	897	403
690	898	401
691	899	400
692	899	398
693	900	397
694	901	395
695	902	394
696	903	392
697	904	391
698	905	389
699	906	388
700	907	386
701	907	385
702	908	383
703	909	382
704	910	381
705	911	379
706	912	377
707	913	376
708	913	375
709	914	373
710	915	372
711	916	370
712	917	369
713	918	367
714	919	366
715	920	365
716	921	363
717	922	362
718	922	360
719	923	359
720	924	357
721	925	356
722	926	354
723	927	353
724	928	352
725	929	350
726	929	349
727	930	347
728	932	346
729	933	345
730	934	343
731	935	342
732	936	341
733	937	339
734	938	338
735	939	337
736	940	335
737	941	334
738	942	333
739	944	331
740	945	330
741	946	329
742	947	327
743	948	326
744	949	325
745	950	323
746	951	322
747	952	320
748	953	319
749	954	318
750	955	316
751	956	315
752	958	314
753	959	312
754	960	311
755	961	310
756	962	308
757	963	307
758	964	306
759	965	304
760	966	303
761	967	302
762	968	300
763	969	299
764	970	298
765	972	296
766	973	295
767	974	294
768	975	292
769	976	291
770	977	290
771	978	288
772	978	287
773	979	286
774	980	284
775	981	283
776	982	282
777	983	280
778	984	279
779	985	278
780	987	276
781	988	275
782	989	274
783	990	272
784	992	271
785	993	270
786	994	269
787	995	267
788	996	266
789	997	265
790	998	263
791	998	262
792	1000	261
793	1001	259
794	1002	258
795	1002	257
796	1003	255
797	1004	254
798	1005	252
799	1006	251
800	1007	250
801	1008	248
802	1009	247
803	1010	246
804	1011	244
805	1012	243
806	1012	242
807	1013	240
808	1014	239
809	1015	238
810	1016	236
811	1017	235
812	1018	234
813	1019	232
814	1020	231
815	1021	230
816	1022	228
817	1022	227
818	1023	226
819	1024	224
820	1025	223
821	1026	222
822	1027	220
823	1028	219
824	1029	218
825	1030	217
826	1031	215
827	1032	214
828	1033	213
829	1034	211
830	1035	210
831	1036	209
832	1037	207
833	1038	206
834	1039	205
835	1039	204
836	1040	202
837	1041	201
838	1042	200
839	1043	198
840	1044	197
841	1045	196
842	1046	194
843	1047	193
844	1048	192
845	1049	191
846	1050	189
847	1051	188
848	1052	187
849	1053	185
850	1054	184
851	1055	183
852	1055	181
853	1056	180
854	1057	179
855	1058	178
856	1059	176
857	1060	175
858	1061	174
859	1062	172
860	1063	171
861	1064	170
862	1065	169
863	1066	167
864	1067	166
865	1068	165
866	1069	164
867	1070	162
868	1071	161
869	1072	160
870	1073	158
871	1073	157
872	1074	156
873	1075	155
874	1076	153
875	1077	152
876	1078	151
877	1079	150
878	1080	148
879	1081	147
880	1082	146
881	1083	144
882	1084	143
883	1085	142
884	1086	141
885	1087	139
886	1089	138
887	1090	137
888	1091	136
889	1092	134
890	1093	133
891	1094	132
892	1095	131
893	1096	129
894	1097	128
895	1098	127
896	1099	126
897	1100	124
898	1101	123
899	1102	122
900	1103	121
901	1104	119
902	1104	118
903	1105	117
904	1106	116
905	1107	114
906	1108	113
907	1109	112
908	1110	111
909	1111	109
910	1112	108
911	1113	107
912	1114	106
913	1115	104
914	1116	103
915	1117	102
916	1118	101
917	1119	100
918	1120	98
919	1121	97
920	1122	96
921	1123	95
922	1124	93
923	1125	92
924	1126	91
925	1127	90
926	1128	88
927	1129	87
928	1129	86
929	1130	85
930	1131	83
931	1132	82
932	1133	81
933	1134	80
934	1135	78
935	1136	77
936	1137	76
937	1138	75
938	1139	74
939	1140	72
940	1141	71
941	1142	70
942	1143	69
943	1144	67
944	1145	66
945	1146	65
946	1147	64
947	1147	62
948	1148	61
949	1149	60
950	1150	59
951	1151	58
952	1152	56
953	1153	55
954	1154	54
955	1155	53
956	1156	51
957	1157	50
958	1158	49
959	1159	48
960	1160	47
961	1161	45
962	1162	44
963	1163	43
964	1163	42
965	1164	40
966	1165	39
967	1166	38
968	1167	37
969	1168	36
970	1169	34
971	1170	33
972	1171	32
973	1172	31
974	1172	30
975	1173	28
976	1174	27
977	1175	26
978	1176	25
979	1177	24
980	1178	22
981	1179	21
982	1180	20
983	1180	19
984	1181	17
985	1182	16
986	1183	15
987	1184	14
988	1185	13
989	1186	11
990	1187	10
991	1188	9
992	1189	8
993	1189	7
994	1190	5
995	1191	4
996	1192	3
997	1193	2
998	1194	1
999	1195	0
